relative_path	filename	bytes	sha256	version_note	identical_byte_copies
tmp/steady53_curves_20260828/source_f8bcd83/sources/NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf	NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf	1764429	c008e88a5c851f15125b8c2f9206c625af7f5c54bc632c773f0b17768826362e	原位置文件；按哈希识别版本	2
tmp/steady53_curves_20260828/source_f8bcd83/sources/NASA-TN-D-5761-Ball-Heidelberg-Weigel-1970-repaired.pdf	NASA-TN-D-5761-Ball-Heidelberg-Weigel-1970-repaired.pdf	1814746	97782c037b67f07635c9a33a14790e2aef6ad356b48d880df951600e1cb2daf8	文件名标记repaired；不代表质量认证	2
tmp/steady53_curves_20260828/source_f8bcd83/sources/NASA-TN-D-5761-Ball-Heidelberg-Weigel-1970.pdf	NASA-TN-D-5761-Ball-Heidelberg-Weigel-1970.pdf	1166964	9d87e8c082edb59ae88f1d6a6f1af6d549b0a4b9d077aae1edb3f1eb1c2c530d	原位置文件；按哈希识别版本	2
tmp/steady53_curves_20260828/source_f8bcd83/sources/NASA-TN-D-6640-Weigel-Ball-1972-repaired.pdf	NASA-TN-D-6640-Weigel-Ball-1972-repaired.pdf	1655370	90656740ad0983deb60ec6d1be940bc33f0c1b85402149e5ff3f27ae86cf4ce2	文件名标记repaired；不代表质量认证	2
tmp/steady53_curves_20260828/source_f8bcd83/sources/NASA-TN-D-6640-Weigel-Ball-1972.pdf	NASA-TN-D-6640-Weigel-Ball-1972.pdf	1026543	f83076ebed1cc13f376c5f889bcbdc60b813b2611e51b614958b127ef164764e	原位置文件；按哈希识别版本	2
tmp/steady53_curves_20260828/source_f8bcd83/sources/NASA-TN-D-7487-Galvas-1973.pdf	NASA-TN-D-7487-Galvas-1973.pdf	1759538	c8d58a4319eb544957453180d437eb3b2c5f637280a111358c216aa5705e6b84	原位置文件；按哈希识别版本	3
压气机程序 (Compressor Program).pdf	压气机程序 (Compressor Program).pdf	1759538	c8d58a4319eb544957453180d437eb3b2c5f637280a111358c216aa5705e6b84	原位置文件；按哈希识别版本	3
桑迪亚报告.pdf	桑迪亚报告.pdf	7847110	629a89b76bd7e9f1d0c0196f5844070bc314efff93245b1c29037fbd59eb59b2	原位置文件；按哈希识别版本	1
空间锂冷堆He-Xe布雷顿循环发电系统优化设计与运行特性分析_徐驰.pdf	空间锂冷堆He-Xe布雷顿循环发电系统优化设计与运行特性分析_徐驰.pdf	17864364	983bfc23712221f30202a47875cbe34c9559edf79b9c332aa20931b6075e4e7a	原位置文件；按哈希识别版本	1
透平程序 (Turbine Program).pdf	透平程序 (Turbine Program).pdf	2323410	40ad3ba37d5a74acc6b233ce635396324cf6523ef79c3f32f0e18bd844e4f36e	原位置文件；按哈希识别版本	1
