name,kind,scaleFloor,constant,finalValue,windowMean,windowMin,windowMax,peakToPeakRel,trendRel,signalPass
reactor_inlet_T,temperature,1,0,1430.10379483719,1430.10375441855,1430.10369796245,1430.10379483719,6.77396611989855e-08,6.68266358244599e-08,1
turbine_inlet_P,pressure,1,0,1538809.80259482,1538847.17172844,1538809.80259482,1538877.61034694,4.40639937264498e-05,4.36850661617511e-05,1
turbine_inlet_T,temperature,1,0,1515.10967867008,1515.10963353203,1515.10956768437,1515.10967867008,7.32525955924122e-08,7.18164254371351e-08,1
reactor_outlet_T,temperature,1,0,1587.58624970632,1587.5862024379,1587.58613127771,1587.58624970632,7.45966499873222e-08,7.28215552472694e-08,1
turbine_outlet_P,pressure,1,0,674556.267925093,674572.649146003,674556.267925093,674585.992290073,4.40639937264549e-05,4.36850661619946e-05,1
turbine_outlet_T,temperature,1,0,1143.73577061118,1143.73574228496,1143.7356972584,1143.73577061118,6.41343712328129e-08,6.27765793035206e-08,1
compressor_outlet_T,temperature,1,0,591.257274450771,591.257279607782,591.257274450771,591.25728401236,1.61716211708519e-08,1.64135443745408e-08,1
compressor_outlet_P,pressure,1,0,1550801.63193192,1550840.3247681,1550801.63193192,1550871.84159402,4.52720121965087e-05,4.48826962977559e-05,1
recuperator_hot_outlet_T,temperature,1,0,698.056752670376,698.056774441813,698.056752670376,698.056818171576,9.38336282294814e-08,8.79235743425435e-08,1
recuperator_hot_outlet_P,pressure,1,0,674556.267925093,674572.649146003,674556.267925093,674585.992290073,4.40639937264549e-05,4.36850661619946e-05,1
recuperator_cold_outlet_P,pressure,1,0,1542809.80259482,1542845.55838771,1542809.80259482,1542877.61034694,4.39497989622934e-05,4.38766816884798e-05,1
recuperator_cold_outlet_T,temperature,1,0,1036.8218912352,1036.82188916739,1036.82188589134,1036.8218993815,1.3011067653738e-08,4.64799507270822e-09,1
compressor_inlet_P,pressure,1,0,656556.267925093,656572.649146003,656556.267925093,656585.992290073,4.52720121964716e-05,4.48826962976103e-05,1
compressor_inlet_T,temperature,1,0,397.731118417287,397.731120175249,397.731118417287,397.731121744497,8.3654768865767e-09,8.67479885619515e-09,1
cooler_cold_outlet_T,temperature,1,0,649.593185198033,649.593208574715,649.593185198033,649.593253776919,1.05572047771846e-07,9.92922451304839e-08,1
cooler_cold_inlet_T,temperature,1,0,353.128213822861,353.128208710432,353.128198659476,353.128213822861,4.29401683091743e-08,4.01068271720647e-08,1
turbine_power,power,1,0,2312375.5230133,2312375.42226895,2312375.29583914,2312375.5230133,9.82427652932143e-08,9.65919476294406e-08,1
compressor_power,power,1,0,1206022.9665581,1206023.01526365,1206022.9665581,1206023.05535065,7.36242605506523e-08,7.33706086707478e-08,1
rotor_speed,speed,1,1,55090,55090,55090,55090,0,2.02506263362144e-16,1
turbine_expansion_ratio,dimensionless,1,0,2.36202395391472,2.36202395391472,2.36202395391472,2.36202395391472,0,2.49422520513224e-16,1
hexe_mdot_turbine,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_compressor,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_ihx,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_recup_hot,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_recup_cold,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
lithium_mdot_reactor,massFlow,1,1,4.572,4.572,4.572,4.572,0,2.23666735068005e-16,1
lithium_mdot_ihx,massFlow,1,1,4.572,4.572,4.572,4.572,0,2.23666735068005e-16,1
compressor_lookup_speed_eff,dimensionless,1,1,1,1,1,1,0,4.91211141110265e-17,1
compressor_lookup_flow_eff,dimensionless,1,0,0.995185157009005,0.995185157009005,0.995185157009005,0.995185157009005,0,3.57965277424611e-16,1
compressor_lookup_speed_pr,dimensionless,1,1,1,1,1,1,0,4.91211141110265e-17,1
compressor_lookup_flow_pr,dimensionless,1,0,0.995185157009005,0.995185157009005,0.995185157009005,0.995185157009005,0,3.57965277424611e-16,1
turbine_lookup_expansion_ratio,dimensionless,1,0,2.28121785500286,2.28121785500286,2.28121785500286,2.28121785500286,0,3.05751540162514e-16,1
turbine_lookup_speed_flow,speed,1,1,55090,55090,55090,55090,0,2.02506263362144e-16,1
turbine_lookup_mass_flow,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
turbine_lookup_speed_eff,speed,1,1,55090,55090,55090,55090,0,2.02506263362144e-16,1
reactor_power,power,1,0,2880386.25841383,2880386.16883249,2880385.95725228,2880386.25841383,1.0455596455611e-07,9.59953190120184e-08,1
tac_electric_power,power,1,0,1084249.3538037,1084249.20733958,1084249.04414951,1084249.3538037,2.85593185791108e-07,2.81866326155293e-07,1
