case_id,interval_index,start_s,end_s,A_K,B_K_s,D_J,residual_J,relative_residual,conditional_C_fluid_J_K
project_flow__inlet_cp,0,4.62962962962963,8.333333333333334,2.897196261682211,915.7164416753205,8024596.037726616,-80872.27740708645,-0.010078049664665455,-694065.9012987416
project_flow__inlet_cp,1,8.333333333333334,12.037037037037036,2.5233644859813467,865.1799238490827,7715137.375833423,-55350.07098427322,-0.007174217163993669,-700044.8527890934
project_flow__inlet_cp,2,12.037037037037036,17.59259259259259,2.990654205607484,1218.330633437176,11100514.829654498,92117.69890426472,0.008298506899713936,-752781.7364910111
project_flow__inlet_cp,3,17.59259259259259,25.925925925925927,4.018691588785032,1685.3619937694714,15750407.60319769,-181747.31153330207,-0.011539213213529994,-676754.38711975
project_flow__inlet_cp,4,25.925925925925927,39.81481481481482,4.018691588785032,2517.529595015577,24529982.468653277,158497.7014726065,0.006461386659169031,-761420.006635174
project_flow__inlet_cp,5,39.81481481481482,58.333333333333336,2.897196261682211,2996.719972308758,30732510.448425982,17168.911944244057,0.0005586563444940891,-727905.924720007
project_flow__inlet_cp,6,58.333333333333336,76.85185185185185,1.1214953271028207,2787.304949809622,29585379.201752942,151317.3352645859,0.0051145984721946815,-856904.5048641524
project_flow__inlet_cp,7,76.85185185185185,100.0,0.6542056074766833,3358.655244029078,36348134.069435745,-12570.563107445836,-0.00034583792068754675,-702764.8773128076
project_flow__inlet_cp,8,100.0,123.14814814814815,0.09345794392515927,3302.407407407409,36081359.36090714,42626.2047855258,0.0011813913206305017,-1178080.272125392
project_flow__inlet_cp,9,123.14814814814815,150.92592592592592,0.18691588785054591,3940.822429906542,43177582.614250675,-124608.58630537987,-0.0028859555991968167,-55323.944186399705
project_flow__inlet_cp,10,150.92592592592592,187.96296296296296,0.0,5240.584285219802,57463400.268922806,-31237.964677914977,-0.0005436149711246553,
project_flow__integral_enthalpy,0,4.62962962962963,8.333333333333334,2.897196261682211,915.7164416753205,8360243.428423232,-103113.71075265482,-0.012333816788406888,-673191.7884013923
project_flow__integral_enthalpy,1,8.333333333333334,12.037037037037036,2.5233644859813467,865.1799238490827,8022118.976823665,-69045.38311166503,-0.008606875977673838,-681420.2202512171
project_flow__integral_enthalpy,2,12.037037037037036,17.59259259259259,2.990654205607484,1218.330633437176,11519682.133125287,78524.70802804083,0.006816568992146062,-735039.3491016043
project_flow__integral_enthalpy,3,17.59259259259259,25.925925925925927,4.018691588785032,1685.3619937694714,16305461.761596091,-177317.90565755777,-0.010874755235401604,-664659.3570515687
project_flow__integral_enthalpy,4,25.925925925925927,39.81481481481482,4.018691588785032,2517.529595015577,25324391.74193295,173636.7191637978,0.006856501073480256,-751989.9264838594
project_flow__integral_enthalpy,5,39.81481481481482,58.333333333333336,2.897196261682211,2996.719972308758,31653073.60517583,35349.178656268865,0.0011167692306028902,-720983.8179715694
project_flow__integral_enthalpy,6,58.333333333333336,76.85185185185185,1.1214953271028207,2787.304949809622,30430160.523542628,158916.29921086505,0.005222328652782417,-850483.0166510809
project_flow__integral_enthalpy,7,76.85185185185185,100.0,0.6542056074766833,3358.655244029078,37364050.22709498,-10583.726282812655,-0.0002832596096645257,-692604.6682509966
project_flow__integral_enthalpy,8,100.0,123.14814814814815,0.09345794392515927,3302.407407407409,37080664.15713116,36921.72233572602,0.0009957136198873997,-1103845.0788473412
