row_id,branch_id,kappa_kg_m2,technology_maturity,flow_case,m_dot_NaK_kg_s,epsilon_case,epsilon,sink_case,T_sink_K,h_case,h_W_m2K,Q_NaK_W,Twall_K,A_exchange_m2,A_rad_m2,UA_W_K,M_rad_kg,mass_margin_kg,exchange_residual_W,radiation_residual_W,condition_status,evidence_status_per_input,rejection_reasons
T300_fd1p45_one__project_flow__NASA_surface_0p90__legacy_project__NASA_120_high,T300_fd1p45_one,4.22,tested,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_high,600.0,1580132.9924937414,552.0052465589806,342.9664733628856,342.9664733628856,205779.88401773135,1447.3185175913773,3202.6814824086227,0.0,2.3981556296348572e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__NASA_120_example__legacy_inverse,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,NASA_120_example,200.0,legacy_inverse,9.755,1622000.000053536,417.49260831144943,1169.365485651816,1169.365485651816,11407.160312533466,4934.722349450663,-284.7223494506634,0.0,-1.862645149230957e-09,rejected,tested|conditional|other_system_anchor|other_system_anchor|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__NASA_120_example__NASA_120_low,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_low,200.0,1622000.000053536,539.634708369718,404.5030692265709,404.5030692265709,80900.61384531419,1707.0029521361291,2942.9970478638706,2.3283064365386963e-10,1.1641532182693481e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__NASA_120_example__NASA_120_high,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_high,600.0,1622000.000053536,552.3365774998585,367.929479129652,367.929479129652,220757.68747779122,1552.6624019271314,3097.337598072869,0.0,1.3969838619232178e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__legacy_project__legacy_inverse,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,legacy_inverse,9.755,1622000.000053536,419.43579521383174,1185.567444880321,1185.567444880321,11565.210424807534,5003.094617394955,-353.0946173949551,0.0,-2.3283064365386963e-10,rejected,tested|conditional|other_system_anchor|project_boundary|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__legacy_project__NASA_120_low,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_low,200.0,1622000.000053536,539.8362030850687,408.6095819615422,408.6095819615422,81721.91639230844,1724.332435877708,2925.667564122292,2.3283064365386963e-10,-1.0710209608078003e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p85__legacy_project__NASA_120_high,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_high,600.0,1622000.000053536,552.4099485533318,371.64066727363564,371.64066727363564,222984.40036418138,1568.3236158947423,3081.676384105258,0.0,2.0489096641540527e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p90__NASA_120_example__legacy_inverse,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,NASA_120_example,200.0,legacy_inverse,9.755,1622000.000053536,414.152930192638,1142.5306363615985,1142.5306363615985,11145.386357707393,4821.479285445946,-171.4792854459456,-2.3283064365386963e-10,-4.656612873077393e-10,rejected,tested|conditional|other_system_anchor|other_system_anchor|conditional_inverse,"[""mass_above_4650_kg""]"
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p90__NASA_120_example__NASA_120_low,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_low,200.0,1622000.000053536,538.6179478919078,384.9795850999676,384.9795850999676,76995.91701999352,1624.6138491218633,3025.3861508781365,0.0,-5.3551048040390015e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_one__energy_closure_flow__NASA_surface_0p90__NASA_120_example__NASA_120_high,T300_fd1p45_one,4.22,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_high,600.0,1622000.000053536,551.9277843311054,348.53766950601045,348.53766950601045,209122.60170360625,1470.828965315364,3179.1710346846357,-2.3283064365386963e-10,2.1886080503463745e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
