name,kind,scaleFloor,constant,finalValue,windowMean,windowMin,windowMax,peakToPeakRel,trendRel,signalPass
reactor_inlet_T,temperature,1,0,1430.10379483719,1430.10375441855,1430.10369796245,1430.10379483719,6.71217054353724e-08,6.62170091443191e-08,1
turbine_inlet_P,pressure,1,0,1538809.80259482,1538847.17172844,1538809.80259482,1538877.61034694,4.40596180123503e-05,4.36807280765306e-05,1
turbine_inlet_T,temperature,1,0,1515.10967867008,1515.10963353203,1515.10956768437,1515.10967867008,7.28750021427284e-08,7.14462349803265e-08,1
reactor_outlet_T,temperature,1,0,1587.58624970632,1587.5862024379,1587.58613127771,1587.58624970632,7.40178826674764e-08,7.22565602191465e-08,1
turbine_outlet_P,pressure,1,0,674556.267925093,674572.649146003,674556.267925093,674585.992290073,4.39709541124372e-05,4.35928266405549e-05,1
turbine_outlet_T,temperature,1,0,1143.73577061118,1143.73574228496,1143.7356972584,1143.73577061118,6.31263104027024e-08,6.1789860178849e-08,1
compressor_outlet_T,temperature,1,0,591.257274450771,591.257279607782,591.257274450771,591.25728401236,1.58856765913367e-08,1.61233221392467e-08,1
compressor_outlet_P,pressure,1,0,1550801.63193192,1550840.3247681,1550801.63193192,1550871.84159402,4.52673514492192e-05,4.48780756304835e-05,1
recuperator_hot_outlet_T,temperature,1,0,698.056752670376,698.056774441813,698.056752670376,698.056818171576,9.87013845908774e-08,9.2484738036181e-08,1
recuperator_hot_outlet_P,pressure,1,0,674556.267925093,674572.649146003,674556.267925093,674585.992290073,4.39709541124372e-05,4.35928266405549e-05,1
recuperator_cold_outlet_P,pressure,1,0,1542809.80259482,1542845.55838771,1542809.80259482,1542877.61034694,4.39453999488056e-05,4.38722899934299e-05,1
recuperator_cold_outlet_T,temperature,1,0,1036.8218912352,1036.82188916739,1036.82188589134,1036.8218993815,1.22536444803239e-08,4.37741780175133e-09,1
compressor_inlet_P,pressure,1,0,656556.267925093,656572.649146003,656556.267925093,656585.992290073,4.51738069604978e-05,4.47853355758929e-05,1
compressor_inlet_T,temperature,1,0,397.731118417287,397.731120175249,397.731118417287,397.731121744497,8.21209026779125e-09,8.51574061202848e-09,1
cooler_cold_outlet_T,temperature,1,0,649.593185198033,649.593208574715,649.593185198033,649.593253776919,1.12501862344428e-07,1.05809849570029e-07,1
cooler_cold_inlet_T,temperature,1,0,353.128213822861,353.128208710432,353.128198659476,353.128213822861,4.2108816208673e-08,3.93303305646489e-08,1
turbine_power,power,1,0,2312375.5230133,2312375.42226895,2312375.29583914,2312375.5230133,1.00867665340452e-07,9.9172740292784e-08,1
compressor_power,power,1,0,1206022.9665581,1206023.01526365,1206022.9665581,1206023.05535065,7.2095284756296e-08,7.18469005365577e-08,1
rotor_speed,speed,1,1,55090,55090,55090,55090,0,2.02506263362144e-16,1
turbine_expansion_ratio,dimensionless,1,0,2.36202395391472,2.36202395391472,2.36202395391472,2.36202395391472,0,2.49422520513224e-16,1
hexe_mdot_turbine,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_compressor,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_ihx,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_recup_hot,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
hexe_mdot_recup_cold,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
lithium_mdot_reactor,massFlow,1,1,4.572,4.572,4.572,4.572,0,2.23666735068005e-16,1
lithium_mdot_ihx,massFlow,1,1,4.572,4.572,4.572,4.572,0,2.23666735068005e-16,1
compressor_lookup_speed_eff,dimensionless,1,1,1,1,1,1,0,4.91211141110265e-17,1
compressor_lookup_flow_eff,dimensionless,1,0,0.995185157009005,0.995185157009005,0.995185157009005,0.995185157009005,0,3.57965277424611e-16,1
compressor_lookup_speed_pr,dimensionless,1,1,1,1,1,1,0,4.91211141110265e-17,1
compressor_lookup_flow_pr,dimensionless,1,0,0.995185157009005,0.995185157009005,0.995185157009005,0.995185157009005,0,3.57965277424611e-16,1
turbine_lookup_expansion_ratio,dimensionless,1,0,2.28121785500286,2.28121785500286,2.28121785500286,2.28121785500286,0,3.05751540162514e-16,1
turbine_lookup_speed_flow,speed,1,1,55090,55090,55090,55090,0,2.02506263362144e-16,1
turbine_lookup_mass_flow,massFlow,1,0,11.9820292903884,11.9820292903884,11.9820292903884,11.9820292903884,0,1.79541627343487e-16,1
turbine_lookup_speed_eff,speed,1,1,55090,55090,55090,55090,0,2.02506263362144e-16,1
reactor_power,power,1,0,2880386.25841383,2880386.16883249,2880385.95725228,2880386.25841383,1.13048631447583e-07,1.03792638571652e-07,1
tac_electric_power,power,1,0,1084249.3538037,1084249.20733958,1084249.04414951,1084249.3538037,3.0958917158956e-07,3.05549175382765e-07,1
