0,2660960.91410467
0.196449188375032,2660960.90754886
0.392898376750064,2660960.90730406
0.589347565125096,2660960.90682952
2.55383944887542,2660960.90099089
4.51833133262574,2660960.8950321
6.48282321637606,2660960.88908384
26.1277420538793,2660960.8520745
45.7726608913825,2660960.83418808
65.4175797288857,2660960.82642275
280,2660960.81326904
494.582420271114,2660960.86774996
560,2660960.86367191
625.417579728886,2660960.8541142
690.835159457771,2660960.85246947
756.252739186657,2660960.8522888
840,2660960.85194732
923.747260813343,2660960.85305414
1007.49452162669,2660960.85292173
1091.24178244003,2660960.85265215
1120,2660960.85256774
1148.75821755997,2660960.85269187
1177.51643511994,2660960.85274334
1206.27465267991,2660960.85275592
1400,2660960.8526159
1593.72534732009,2660960.85316192
1680,2660960.85316103
1766.27465267991,2660960.853676
1852.54930535983,2660960.85380733
1938.82395803974,2660960.85384441
1960,2660960.85384956
1981.17604196026,2660960.85412563
2002.35208392051,2660960.85429999
2023.52812588077,2660960.8544018
2240,2660960.85464258
2456.47187411923,2660960.85546849
2520,2660960.85552134
2583.52812588077,2660960.85608071
2647.05625176154,2660960.85628859
2710.58437764232,2660960.85638258
2800,2660960.8564553
2889.41562235768,2660960.8571328
2978.83124471537,2660960.85733592
3068.24686707305,2660960.85742102
3080,2660960.85742968
3091.75313292695,2660960.85763832
3103.5062658539,2660960.85780599
3115.25939878085,2660960.85792823
3232.79072805035,2660960.85829898
3360,2660960.85843999
3487.20927194965,2660960.85927227
3614.4185438993,2660960.85947218
3640,2660960.85949227
3665.5814561007,2660960.85988889
3691.1629122014,2660960.86012355
3716.7443683021,2660960.86025719
3920,2660960.86057162
4123.2556316979,2660960.86161234
4200,2660960.86170699
4276.7443683021,2660960.8624658
4353.4887366042,2660960.86272268
4430.2331049063,2660960.86283669
4480,2660960.86288636
4529.7668950937,2660960.86353255
4579.5337901874,2660960.86380609
4629.3006852811,2660960.8639381
4760,2660960.8640989
4890.6993147189,2660960.86510017
5021.3986294378,2660960.86533639
5040,2660960.86535308
5058.6013705622,2660960.8657323
5077.20274112439,2660960.86599043
5095.80411168659,2660960.86615276
5281.81781730856,2660960.86659828
5320,2660960.86664603
5358.18218269144,2660960.86727197
5396.36436538287,2660960.86757672
5434.54654807431,2660960.86773305
5600,2660960.86799333
5765.45345192569,2660960.86919688
5880,2660960.86939102
5994.54654807431,2660960.87048528
6109.09309614862,2660960.87077298
6160,2660960.87083536
6210.90690385138,2660960.87164034
6261.81380770276,2660960.87197839
6312.72071155414,2660960.8721411
6440,2660960.87233295
6567.27928844586,2660960.87355585
6694.55857689172,2660960.87384992
6720,2660960.8738794
6745.44142310828,2660960.87445922
6770.88284621657,2660960.87480324
6796.32426932485,2660960.87499957
7000,2660960.8754642
7203.67573067515,2660960.87699226
7280,2660960.87713039
7356.32426932485,2660960.87824084
7432.64853864971,2660960.87861808
7508.97280797456,2660960.8787858
7560,2660960.87886073
7611.02719202544,2660960.87982035
7662.05438405088,2660960.88022125
7713.08157607631,2660960.8804137
7840,2660960.88064001
7966.91842392369,2660960.88209349
8093.83684784737,2660960.88244355
8120,2660960.88247973
8146.16315215263,2660960.88318235
8172.32630430526,2660960.88359385
8198.48945645789,2660960.88382681
8400,2660960.88436632
8601.51054354211,2660960.88617888
8680,2660960.88634896
8758.48945645789,2660960.88768627
8836.97891291577,2660960.88813307
8915.46836937366,2660960.88833044
8960,2660960.8884074
9004.53163062634,2660960.88947288
9049.06326125268,2660960.88995108
9093.59489187902,2660960.89018751
9240,2660960.89052002
9386.40510812098,2660960.89233673
9520,2660960.89271281
9653.59489187902,2660960.89452763
9800,2660960.89497742
9946.40510812098,2660960.89691675
10080,2660960.89732514
10213.594891879,2660960.89927339
10360,2660960.89975694
10506.405108121,2660960.90183697
10640,2660960.90227538
10773.594891879,2660960.90436453
10920,2660960.90488329
11066.405108121,2660960.90711352
11200,2660960.9075837
11333.594891879,2660960.90982359
11480,2660960.91037984
11626.405108121,2660960.91277094
11760,2660960.91327506
11893.594891879,2660960.91567648
12040,2660960.91627286
12186.405108121,2660960.91883637
12320,2660960.91937686
12453.594891879,2660960.92195142
12600,2660960.92259081
12746.405108121,2660960.92533916
12880,2660960.92591861
13013.594891879,2660960.92867881
13160,2660960.9293643
13306.405108121,2660960.9323108
13440,2660960.93293204
13573.594891879,2660960.93589124
13720,2660960.93662615
13866.405108121,2660960.93978511
14000,2660960.94045113
